Type;Date;Notes;Labels;From_Account;From_Amount;From_Amount_LCY;From_Currency;From_Exchange_Rate;To_Account;To_Amount;To_Amount_LCY;To_Currency;To_Exchange_Rate;Time;Payment type;Payment status;Place
Transfer;2022-09-09;;[];AirBank - Společný;10000.0;10000.0;CZK;1.0;AirBank - Spořící;10000.0;10000.0;CZK;1.0;10:18;Transfer;Reconciled;
Transfer;2022-09-09;;['Vklad - Honza'];KB - Personal - účet;10000.0;10000.0;CZK;1.0;AirBank - Společný;10000.0;10000.0;CZK;1.0;07:21;Transfer;Reconciled;
Transfer;2022-09-09;;['Vklad - Honza'];KB - Personal - účet;20000.0;20000.0;CZK;1.0;AirBank - Spořící;20000.0;20000.0;CZK;1.0;07:20;Transfer;Reconciled;
Transfer;2022-09-09;Záloha na Salinkartu;['Vklad - Honza'];KB - Personal - účet;500.0;500.0;CZK;1.0;AirBank - Spořící;500.0;500.0;CZK;1.0;07:18;Transfer;Reconciled;
Transfer;2022-09-09;Zaloha na Renault Laguna service, pojisteni, ruceni;['Renault Laguna', 'Vklad - Honza'];KB - Personal - účet;1000.0;1000.0;CZK;1.0;AirBank - Spořící;1000.0;1000.0;CZK;1.0;07:18;Transfer;Reconciled;
Transfer;2022-09-08;;[];AirBank - Spořící;10000.0;10000.0;CZK;1.0;AirBank - Společný;10000.0;10000.0;CZK;1.0;13:01;Transfer;Reconciled;
Transfer;2022-09-07;;[];AirBank - Spořící;5000.0;5000.0;CZK;1.0;AirBank - Společný;5000.0;5000.0;CZK;1.0;08:46;Transfer;Reconciled;
Transfer;2022-09-06;;[];AirBank - Spořící;25000.0;25000.0;CZK;1.0;AirBank - Společný;25000.0;25000.0;CZK;1.0;16:19;Transfer;Reconciled;
Transfer;2022-09-03;;[];AirBank - Společný;1000.0;1000.0;CZK;1.0;CZK - Společný;1000.0;1000.0;CZK;1.0;15:48;Transfer;Reconciled;
Transfer;2022-09-01;;[];AirBank - Spořící;2758.28;2758.28;CZK;1.0;AirBank - Společný;2758.28;2758.28;CZK;1.0;14:47;Transfer;Reconciled;
Transfer;2022-08-31;;[];AirBank - Spořící;1000.0;1000.0;CZK;1.0;AirBank - Společný;1000.0;1000.0;CZK;1.0;07:50;Transfer;Reconciled;
Transfer;2022-08-30;;[];AirBank - Spořící;1000.0;1000.0;CZK;1.0;AirBank - Společný;1000.0;1000.0;CZK;1.0;13:25;Transfer;Reconciled;
Transfer;2022-08-30;;[];AirBank - Společný;1400.0;1400.0;CZK;1.0;CZK - Společný;1400.0;1400.0;CZK;1.0;10:48;Transfer;Reconciled;
Transfer;2022-08-26;;['Vklad - Honza'];AirBank - Spořící;1000.0;1000.0;CZK;1.0;KB - Personal - účet;1000.0;1000.0;CZK;1.0;20:44;Transfer;Reconciled;
Transfer;2022-08-24;;['Vklad - Honza'];AirBank - Spořící;1000.0;1000.0;CZK;1.0;KB - Personal - účet;1000.0;1000.0;CZK;1.0;07:43;Transfer;Reconciled;
Transfer;2022-08-23;;[];AirBank - VASKO TechDesign;169.64;169.64;CZK;1.0;EUR;6.7;0.2646191934;EUR;0.039495402;19:20;Transfer;Reconciled;
Transfer;2022-08-18;Zpět na KB;['Vklad - Honza'];AirBank - Spořící;2000.0;2000.0;CZK;1.0;KB - Personal - účet;2000.0;2000.0;CZK;1.0;07:34;Transfer;Reconciled;
Transfer;2022-08-12;;['Vklad - Honza'];AirBank - Spořící;2500.0;2500.0;CZK;1.0;KB - Personal - účet;2500.0;2500.0;CZK;1.0;12:40;Transfer;Reconciled;
Transfer;2022-08-11;;[];KB - Personal - účet;600.0;600.0;CZK;1.0;CZK;600.0;600.0;CZK;1.0;14:24;Transfer;Reconciled;
Transfer;2022-08-09;Záloha na Salinkartu;['Vklad - Honza'];KB - Personal - účet;500.0;500.0;CZK;1.0;AirBank - Spořící;500.0;500.0;CZK;1.0;13:15;Transfer;Reconciled;
Transfer;2022-08-09;;['Vklad - Honza'];KB - Personal - účet;10000.0;10000.0;CZK;1.0;AirBank - Společný;10000.0;10000.0;CZK;1.0;13:14;Transfer;Reconciled;
Transfer;2022-08-09;;['Vklad - Honza'];KB - Personal - účet;20000.0;20000.0;CZK;1.0;AirBank - Spořící;20000.0;20000.0;CZK;1.0;13:14;Transfer;Reconciled;
Transfer;2022-08-09;Zaloha na Renault Laguna service, pojisteni, ruceni;['Renault Laguna', 'Vklad - Honza'];KB - Personal - účet;1000.0;1000.0;CZK;1.0;AirBank - Spořící;1000.0;1000.0;CZK;1.0;13:14;Transfer;Reconciled;
Transfer;2022-08-08;;[];AirBank - Spořící;1000.0;1000.0;CZK;1.0;AirBank - Společný;1000.0;1000.0;CZK;1.0;09:14;Transfer;Reconciled;
Transfer;2022-08-04;;[];AirBank - Spořící;2235.18;2235.18;CZK;1.0;AirBank - Společný;2235.18;2235.18;CZK;1.0;10:17;Transfer;Reconciled;
Transfer;2022-08-03;;[];AirBank - Spořící;1000.0;1000.0;CZK;1.0;AirBank - Společný;1000.0;1000.0;CZK;1.0;20:31;Transfer;Reconciled;
Transfer;2022-08-02;;['Renault Laguna', 'Vklad - Honza'];KB - Personal - účet;6466.0;6466.0;CZK;1.0;AirBank - Spořící;6466.0;6466.0;CZK;1.0;14:25;Transfer;Reconciled;
Transfer;2022-07-30;;[];AirBank - Spořící;1500.0;1500.0;CZK;1.0;AirBank - Společný;1500.0;1500.0;CZK;1.0;18:44;Transfer;Reconciled;
Transfer;2022-07-29;;[];AirBank - Spořící;1000.0;1000.0;CZK;1.0;AirBank - Společný;1000.0;1000.0;CZK;1.0;16:21;Transfer;Reconciled;
Transfer;2022-07-28;;[];AirBank - Spořící;500.0;500.0;CZK;1.0;AirBank - Společný;500.0;500.0;CZK;1.0;13:46;Transfer;Reconciled;
Transfer;2022-07-26;;[];AirBank - Společný;1600.0;1600.0;CZK;1.0;CZK - Společný;1600.0;1600.0;CZK;1.0;12:39;Transfer;Reconciled;
Transfer;2022-07-26;;[];AirBank - Spořící;2000.0;2000.0;CZK;1.0;AirBank - Společný;2000.0;2000.0;CZK;1.0;12:37;Transfer;Reconciled;
Transfer;2022-07-24;;[];AirBank - Spořící;500.0;500.0;CZK;1.0;AirBank - Společný;500.0;500.0;CZK;1.0;19:50;Transfer;Reconciled;
Transfer;2022-07-23;;[];AirBank - Společný;8000.0;8000.0;CZK;1.0;AirBank - Spořící;8000.0;8000.0;CZK;1.0;12:51;Transfer;Reconciled;
Transfer;2022-07-23;;[];CZK - Společný;8000.0;8000.0;CZK;1.0;AirBank - Společný;8000.0;8000.0;CZK;1.0;12:51;Transfer;Reconciled;
Transfer;2022-07-20;;[];AirBank - Společný;30000.0;30000.0;CZK;1.0;CZK - Společný;30000.0;30000.0;CZK;1.0;22:04;Transfer;Reconciled;
Transfer;2022-07-20;;[];AirBank - Spořící;30000.0;30000.0;CZK;1.0;AirBank - Společný;30000.0;30000.0;CZK;1.0;22:03;Transfer;Reconciled;
Transfer;2022-07-20;;[];Trezor;7000.0;7000.0;CZK;1.0;CZK;7000.0;7000.0;CZK;1.0;08:06;Transfer;Reconciled;
Transfer;2022-07-13;;[];AirBank - Společný;8000.0;8000.0;CZK;1.0;AirBank - Spořící;8000.0;8000.0;CZK;1.0;15:54;Transfer;Reconciled;
Transfer;2022-07-13;;[];CZK - Společný;8000.0;8000.0;CZK;1.0;AirBank - Společný;8000.0;8000.0;CZK;1.0;15:53;Transfer;Reconciled;
Transfer;2022-07-13;Zaloha na Renault Laguna service, pojisteni, ruceni;['Renault Laguna', 'Vklad - Honza'];KB - Personal - účet;1000.0;1000.0;CZK;1.0;AirBank - Spořící;1000.0;1000.0;CZK;1.0;10:56;Transfer;Reconciled;
Transfer;2022-07-13;;['Vklad - Honza'];KB - Personal - účet;10000.0;10000.0;CZK;1.0;AirBank - Společný;10000.0;10000.0;CZK;1.0;07:02;Transfer;Reconciled;
Transfer;2022-07-13;;['Vklad - Honza'];KB - Personal - účet;20000.0;20000.0;CZK;1.0;AirBank - Spořící;20000.0;20000.0;CZK;1.0;07:02;Transfer;Reconciled;
Transfer;2022-07-11;;[];CZK;7000.0;7000.0;CZK;1.0;Trezor;7000.0;7000.0;CZK;1.0;17:32;Transfer;Reconciled;
Transfer;2022-07-11;;[];AirBank - Společný;1000.0;1000.0;CZK;1.0;CZK - Společný;1000.0;1000.0;CZK;1.0;11:33;Transfer;Reconciled;
Transfer;2022-07-11;;[];AirBank - Spořící;1500.0;1500.0;CZK;1.0;AirBank - Společný;1500.0;1500.0;CZK;1.0;11:29;Transfer;Reconciled;
Transfer;2022-07-11;;[];KB - Personal - účet;7000.0;7000.0;CZK;1.0;CZK;7000.0;7000.0;CZK;1.0;11:21;Transfer;Cleared;
Transfer;2022-07-10;;[];AirBank - Spořící;1000.0;1000.0;CZK;1.0;AirBank - Společný;1000.0;1000.0;CZK;1.0;16:41;Transfer;Reconciled;
Transfer;2022-07-10;;[];AirBank - Spořící;1000.0;1000.0;CZK;1.0;AirBank - Společný;1000.0;1000.0;CZK;1.0;13:05;Transfer;Reconciled;
Transfer;2022-07-05;;[];AirBank - Spořící;1312.29;1312.29;CZK;1.0;AirBank - Společný;1312.29;1312.29;CZK;1.0;07:10;Transfer;Reconciled;
Transfer;2022-07-04;;[];AirBank - VASKO TechDesign;9000.0;9000.0;CZK;1.0;KB - Personal - účet;9000.0;9000.0;CZK;1.0;21:09;Transfer;Reconciled;
Transfer;2022-07-04;;[];AirBank - Společný;1000.0;1000.0;CZK;1.0;CZK - Společný;1000.0;1000.0;CZK;1.0;12:07;Transfer;Reconciled;
Transfer;2022-07-01;;[];AirBank - Spořící;2000.0;2000.0;CZK;1.0;AirBank - Společný;2000.0;2000.0;CZK;1.0;19:33;Transfer;Reconciled;
Transfer;2022-06-29;;[];AirBank - Spořící;3150.0;3150.0;CZK;1.0;AirBank - Společný;3150.0;3150.0;CZK;1.0;06:44;Transfer;Reconciled;
