Type;Date;Time;From_Account;To_Account;From_Amount;From_Amount_LCY;To_Amount;To_Amount_LCY;From_Currency;To_Currency;Payment_type;Payment_Status;Labels;Notes
Transfer;2021-06-10;10:49;AirBank - Spořící;AirBank - Společný;1500.03;1500.03;1500.03;1500.03;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-06-10;10:57;AirBank - Spořící;AirBank - Společný;4500.0;4500.0;4500.0;4500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-06-10;11:27;AirBank - Spořící;AirBank - Společný;5820.0;5820.0;5820.0;5820.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-06-10;11:29;AirBank - Společný;CZK;100.0;100.0;100.0;100.0;CZK;CZK;Transfer;Reconciled;[];Omylem neslo vybrat 
Transfer;2021-06-10;13:35;AirBank - Spořící;AirBank - Společný;798.36;798.36;798.36;798.36;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-06-10;15:25;AirBank - Spořící;AirBank - Společný;919.0;919.0;919.0;919.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-06-10;15:57;AirBank - Spořící;AirBank - Společný;100.0;100.0;100.0;100.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-06-11;07:14;AirBank - Spořící;AirBank - Společný;15000.0;15000.0;15000.0;15000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-06-11;07:15;AirBank - Společný;CZK - Společný;15000.0;15000.0;15000.0;15000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-06-11;13:38;KB - Personal - účet;AirBank - Spořící;15000.0;15000.0;15000.0;15000.0;CZK;CZK;Transfer;Reconciled;['Vklad - Honza'];
Transfer;2021-06-11;13:39;KB - Personal - účet;AirBank - Společný;5000.0;5000.0;5000.0;5000.0;CZK;CZK;Transfer;Reconciled;['Vklad - Honza'];
Transfer;2021-06-11;15:52;AirBank - Spořící;AirBank - Společný;90000.0;90000.0;90000.0;90000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-06-11;15:53;AirBank - Společný;CZK - Společný;80000.0;80000.0;80000.0;80000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-06-11;17:15;AirBank - Společný;CZK - Společný;10000.0;10000.0;10000.0;10000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-06-16;17:55;KB - Personal - účet;CZK;1500.0;1500.0;1500.0;1500.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2021-06-17;14:18;KB - Personal - účet;AirBank - VASKO TechDesign;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-06-18;11:05;CZK - Společný;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];Rozmenebi penez
Transfer;2021-06-18;11:06;KB - Personal - účet;AirBank - Spořící;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;['Vklad - Honza'];
Transfer;2021-06-18;15:18;CZK - Společný;AirBank - Společný;146300.0;146300.0;146300.0;146300.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-06-18;16:21;AirBank - Spořící;AirBank - Společný;3700.0;3700.0;3700.0;3700.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-06-18;16:22;AirBank - Spořící;AirBank - Společný;339.45;339.45;339.45;339.45;CZK;CZK;Transfer;Reconciled;[];Uroky svatebni pujcky
Transfer;2021-06-18;19:29;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2021-06-21;08:41;KB - Personal - účet;AirBank - VASKO TechDesign;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-06-22;17:14;CZK - Společný;AirBank - Společný;5000.0;5000.0;5000.0;5000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-06-22;17:16;AirBank - Společný;AirBank - Spořící;5000.0;5000.0;5000.0;5000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-06-24;11:40;AirBank - Spořící;AirBank - Společný;110.0;110.0;110.0;110.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-06-25;09:24;AirBank - Spořící;AirBank - Společný;69.0;69.0;69.0;69.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-06-25;14:24;AirBank - Společný;AirBank - Spořící;1300.0;1300.0;1300.0;1300.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-06-25;14:24;CZK - Společný;AirBank - Společný;1300.0;1300.0;1300.0;1300.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-06-28;13:59;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2021-06-30;19:16;AirBank - Spořící;AirBank - Společný;840.0;840.0;840.0;840.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-06-30;19:53;AirBank - Spořící;AirBank - Společný;1296.66;1296.66;1296.66;1296.66;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-07-01;19:44;AirBank - Spořící;AirBank - Společný;1079.0;1079.0;1079.0;1079.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-07-02;19:12;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2021-07-04;09:08;AirBank - Spořící;AirBank - Společný;1927.9;1927.9;1927.9;1927.9;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-07-04;09:19;AirBank - Spořící;AirBank - Společný;3272.0;3272.0;3272.0;3272.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-07-05;08:00;AirBank - Spořící;AirBank - Společný;1380.0;1380.0;1380.0;1380.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-07-05;13:02;AirBank - Společný;CZK - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-07-07;08:53;AirBank - Spořící;AirBank - Společný;760.0;760.0;760.0;760.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-07-08;17:19;CZK - Společný;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-07-11;16:32;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-07-14;07:23;KB - Personal - účet;AirBank - Společný;5000.0;5000.0;5000.0;5000.0;CZK;CZK;Transfer;Reconciled;['Vklad - Honza'];
Transfer;2021-07-14;07:23;KB - Personal - účet;AirBank - Spořící;15000.0;15000.0;15000.0;15000.0;CZK;CZK;Transfer;Reconciled;['Vklad - Honza'];
Transfer;2021-07-14;10:36;KB - Personal - účet;AirBank - VASKO TechDesign;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-07-14;14:30;AirBank - VASKO TechDesign;Chance;100.0;100.0;100.0;100.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-07-14;14:38;AirBank - VASKO TechDesign;Fortuna;200.0;200.0;200.0;200.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-07-14;14:45;AirBank - VASKO TechDesign;SynotTip;10.0;10.0;10.0;10.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-07-14;14:50;AirBank - VASKO TechDesign;Tipsport;100.0;100.0;100.0;100.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-07-14;15:00;AirBank - VASKO TechDesign;Sazka;10.0;10.0;10.0;10.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-07-14;18:01;KB - Personal - účet;CZK;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2021-07-16;16:03;KB - Personal - účet;AirBank - VASKO TechDesign;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-07-20;16:58;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2021-07-28;20:51;AirBank - Spořící;AirBank - Společný;5146.8;5146.8;5146.8;5146.8;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-07-29;11:36;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2021-08-01;12:33;KB - Personal - účet;Benzina - Karta;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2021-08-10;10:50;AirBank - Spořící;AirBank - Společný;8180.5;8180.5;8180.5;8180.5;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-08-10;17:35;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-08-10;17:41;AirBank - Společný;CZK - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-08-11;08:28;AirBank - Spořící;AirBank - Společný;319.0;319.0;319.0;319.0;CZK;CZK;Transfer;Reconciled;[];
